"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"C0",-0.057282,0.010873,-0.00033281,0.00019121,0.0023996,-0.027973,-0.018181,0.025654,-0.011857,0.043751,-0.018953,-0.22028
"C2",-0.05331,0.02885,-0.027602,-0.040807,-0.0097486,-0.027736,0.0052974,0.016195,0.0013904,0.03921,-0.025981,-0.32026
"C3",-0.054677,0.024452,-0.041275,-0.017398,0.0024736,-0.0052866,0.038955,0.024151,0.014166,0.016505,-0.012839,0.33444
"C3-DC (C4-OH)",-0.05252,0.00095213,-0.044485,-0.052216,0.0084862,9.9349e-05,-0.032205,0.027754,0.00064563,5.0128e-05,-0.024697,-0.62811
"C3-OH",-0.0205,0.021625,0.023629,0.025097,0.010147,-0.044722,0.10177,-0.10502,-0.030659,-0.0052489,0.034174,-0.19169
"C3:1",-0.05122,0.035821,-0.034359,0.016765,0.0095486,0.0033821,-0.032243,0.029296,0.033469,-0.045391,-0.023422,0.012622
"C4",-0.054068,0.014607,-0.042809,-0.036498,-0.0222,0.0075,-0.00019007,-0.0073993,0.025239,0.037267,-0.010879,-0.31172
"C4:1",-0.028858,-0.069894,-0.01232,0.037178,0.0066697,0.044145,-0.091729,0.0037012,-0.029774,-0.035815,-0.023363,-0.14694
"C5",-0.049499,-0.011585,0.023648,0.038225,-0.049085,0.015975,-0.022434,-0.041439,0.019076,0.054563,-0.009329,-0.030381
"C5-DC (C6-OH)",-0.048185,-0.03858,0.0051307,-0.01537,-0.022797,-0.038067,0.042004,-0.032333,0.011516,0.028134,0.064704,-0.22278
"C5-M-DC",0.030215,-0.069812,0.0095158,0.060289,0.044026,-0.013466,-0.06352,-0.0095577,0.023981,-0.042221,0.038465,0.24176
"C5-OH (C3-DC-M)",-0.058234,0.0055521,-0.0028423,-0.0023363,-0.019231,0.015249,0.011913,-0.0085752,-0.010901,0.042011,-0.028456,-0.003056
"C5:1",-0.043671,-0.0077516,-0.010316,-0.061659,-0.033171,0.014116,0.06323,-0.018311,0.06767,0.019012,-0.0020348,0.0064291
"C5:1-DC",-0.042444,-0.023239,-0.037601,-0.03204,-0.03306,0.048491,0.0095361,-0.073753,-0.025761,-0.048783,0.021271,0.011067
"C6 (C4:1-DC)",-0.052853,-0.033527,-0.024306,-0.056826,0.0011517,0.024484,-0.002625,-0.0025854,-0.01188,0.019525,0.00082815,0.0083959
"C6:1",-0.03946,-0.02076,0.063565,0.0026791,-0.062125,0.0066215,0.014041,-0.0011251,-0.051995,-0.073849,-0.024387,0.012498
"C7-DC",-0.00081267,-0.034899,-0.025594,0.023763,-0.10127,-0.057724,0.0083233,0.0060527,-0.10475,0.027311,-0.037224,0.010725
"C8",-0.030933,-0.052328,0.024567,-0.087525,0.0077564,-0.0051688,0.060441,-0.025058,-0.026753,-0.04055,-0.041411,0.010374
"C9",0.008172,-0.075148,-0.04584,-0.039717,-0.014925,-0.060914,0.00066935,0.0741,-0.066845,0.041006,0.0079752,0.00027425
"C10",-0.044802,-0.023484,0.021726,0.019589,0.00086944,0.090505,0.032908,-0.042153,-0.017008,0.016112,0.008619,-0.002391
"C10:1",-0.00075482,-0.028365,0.011105,-0.011109,0.038475,-0.10035,0.086804,0.05461,-0.022334,0.024158,-0.082598,0.010852
"C10:2",-0.019045,-0.06757,0.052851,-0.013755,0.013368,-0.046431,0.0046149,0.031285,0.068934,0.033481,-0.09667,-0.022425
"C12",-0.039761,-0.049904,-0.026444,0.0057303,0.075486,-0.0025586,0.0078741,-0.0071295,0.01032,0.065899,0.052932,0.0044531
"C12-DC",0.014019,-0.020363,0.05469,0.042351,-0.01397,-0.10185,-0.025778,-0.073262,0.024578,-0.050882,0.056422,0.015739
"C12:1",-0.035651,-0.077317,0.042231,-0.040161,0.0024709,-0.014794,0.022146,-0.029273,0.03304,0.023223,-0.05179,-0.0095167
"C14",-0.059117,-0.0060713,-0.0021002,-0.024999,-0.015258,0.015461,0.016623,-0.00019508,0.023575,0.0099466,0.0034227,0.0014811
"C14:1",-0.05684,-0.023773,0.0074778,-0.010044,-0.010111,0.0072893,0.015087,0.016123,0.039974,0.034383,-0.011048,0.012671
"C14:1-OH",-0.041897,-0.039554,0.033893,-0.039701,-0.018777,0.055055,0.022757,-0.0002425,0.041302,0.072549,0.0011391,0.0073601
"C14:2",-0.046752,-0.06704,0.040723,-0.0047837,-0.020707,-0.021554,0.015243,-0.011015,0.019982,0.024847,0.012843,0.0047858
"C14:2-OH",-0.035799,-0.031376,0.081482,0.022677,-0.00074095,0.049985,0.036538,-0.0024182,0.028969,0.018912,-0.074931,0.010136
"C16",-0.057935,-0.0085566,-0.0003672,-0.030435,-0.021269,-0.0012921,0.020004,-0.00077683,0.021458,-0.009905,0.030706,0.0038338
"C16-OH",-0.056264,-0.034172,0.0062994,-0.038782,-0.0069994,-0.012411,0.0081619,0.013448,0.018771,0.0082686,0.0015076,0.008768
