"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"C0",0.067628,0.0086987,0.037811,-0.0030277,0.018273,-0.014809,-0.0067793,-0.0031243,-0.028139,0.015659,0.0077166,-0.4987
"C2",0.070274,-0.010587,0.0046818,-0.029418,0.010059,0.0055952,0.020635,0.0030748,-0.0028923,-0.0075583,0.012002,-0.097055
"C3",0.066407,-0.017798,0.04367,0.010379,0.0023696,-0.0085093,-0.015412,0.010925,-0.024004,-0.0055227,0.012738,0.46415
"C3-DC (C4-OH)",0.062278,-0.0032093,-0.0074929,-0.039829,-0.038976,0.017591,0.039787,-0.0059584,0.020522,0.033274,-0.0036999,0.39507
"C3-OH",-0.02295,0.011089,-0.0058687,-0.031013,-0.088914,-0.020425,0.064781,0.03908,-0.02558,0.077505,0.038394,0.50626
"C3:1",0.013318,0.066139,-0.011782,-0.027271,-0.010871,-0.084064,0.079508,-0.024255,0.0088723,0.0017502,0.012761,0.073445
"C4",0.064151,0.021178,0.032839,-0.02475,0.006384,-0.015899,0.022567,-0.037333,0.024743,-0.013395,-0.0024874,0.187
"C4:1",-0.011998,0.066027,-0.0094327,0.03651,-0.013237,0.0057364,-0.024295,-0.036247,-0.037789,0.11151,-0.035161,0.015159
"C5",0.035138,0.031217,0.058674,0.047125,0.0087225,-0.071237,0.039174,0.048409,-0.022471,-0.0087144,-0.0036593,-0.013044
"C5-DC (C6-OH)",-0.015058,0.024284,-0.023641,-0.10601,-0.038967,-0.018018,0.020108,-0.043837,0.03062,0.056539,-0.01331,0.19012
"C5-M-DC",-0.043109,-0.035809,-0.028717,0.025874,-0.037302,-0.035687,-0.029669,-0.059954,0.029478,-0.056175,-0.049951,-0.03368
"C5-OH (C3-DC-M)",0.061039,0.036729,0.025908,0.017118,0.0163,0.028942,0.024095,0.042097,0.018665,0.0013248,-0.016931,0.002446
"C5:1",0.037078,0.040331,-0.011366,0.051264,0.054407,0.044594,0.072022,-0.006123,0.040954,0.00026799,-0.0039596,0.0092186
"C5:1-DC",-0.0040559,0.045895,0.032551,0.047709,0.017099,0.015486,0.030086,-0.091622,-0.052593,0.043796,0.075052,-0.0044724
"C6 (C4:1-DC)",-0.0053375,0.034878,-0.034916,-0.10444,-0.018033,0.035706,-0.023595,-0.037092,0.036333,0.0049024,0.057546,0.0084745
"C6:1",-0.053503,0.034364,-0.039393,0.018806,-0.024474,-0.043342,0.024824,0.032907,-0.050054,-0.023128,0.0053169,0.00023568
"C7-DC",0.0089909,0.016099,-0.01437,-0.050266,-0.03272,-0.013358,-0.1243,0.046927,-0.037669,0.028593,0.0054076,0.0039775
"C8",0.0038619,0.043788,0.010277,-0.12006,0.010948,0.00030465,-0.014398,-0.036666,0.022157,0.021782,0.022666,-0.0074648
"C9",-0.023901,0.031649,-0.025295,0.044416,-0.098391,-0.035123,-0.03203,0.03801,-0.030819,-0.046983,0.019484,-0.0012853
"C10",-0.038155,0.040328,0.057369,-0.042215,-0.017921,0.0028803,-0.047774,-0.046898,0.022055,-0.0099368,0.067728,0.00089611
"C10:1",0.01071,-0.0025028,-0.061573,-0.090987,0.024182,-0.0001566,0.079128,-0.039759,-0.0044941,-0.0023632,0.010278,-0.022631
"C10:2",0.013866,0.031733,0.017476,-0.073261,-0.028606,-0.046833,0.018137,0.10625,0.032933,0.0014778,0.027883,0.00021053
"C12",0.026755,0.011966,-0.025913,-0.086691,0.049971,0.038641,-0.054065,-0.01697,-0.030486,0.051036,0.024405,0.0013005
"C12-DC",-0.024774,0.030862,-0.011674,-0.040005,-0.021942,-0.021789,0.075932,0.013169,-0.0057357,-0.063118,0.10835,-0.0043995
"C12:1",0.046515,0.0043173,-0.025022,-0.070039,0.0081967,0.015839,0.0079885,-0.0038224,-0.064252,0.031951,0.067323,-0.014163
"C14",0.044654,-0.0022149,-0.046099,-0.072977,0.047713,0.038041,-0.023422,-0.023813,0.011859,-0.0071954,0.030247,-0.0075549
"C14:1",0.032567,0.013242,-0.076673,-0.062268,0.028516,0.034156,-0.025559,-0.0042431,0.0011596,-0.0063252,0.071811,-0.0011555
"C14:1-OH",0.043813,0.010242,-0.027746,-0.065754,-0.010797,0.037552,0.038417,-0.062635,0.0073373,-0.013852,0.061041,-0.0084279
"C14:2",0.01733,0.021226,-0.08805,-0.040938,0.054909,0.052858,-0.034645,-0.00034776,0.010853,-0.022007,0.046351,0.0085505
"C14:2-OH",0.0098381,0.045322,-0.023882,-0.02516,0.047898,-0.058374,-0.0073465,0.036954,0.010474,0.0028864,0.1313,0.0022266
"C16",0.04896,-0.014831,-0.018263,-0.078062,0.046778,0.034078,-0.016365,-0.035766,0.0023826,0.0028139,0.014687,-0.0020224
