"Metabolites","class","PC1","PC2","PC3","PC4","PC5"
"Hypoxanthine","Nucleobases Related",0.071902,-0.013844,-0.0015466,-0.017488,-0.0069678
"SM C18:0","Sphingolipids",0.071703,0.002278,0.0057976,0.013639,-0.011606
"Trp","Aminoacids",0.071558,-0.00038979,-0.0089476,-0.021517,-0.0012
"SM C16:0","Sphingolipids",0.071446,-0.01621,0.0068954,0.007709,-0.0065215
"PC aa C34:4","Glycerophospholipids",0.071398,-0.0012651,0.0067202,0.015435,-0.021828
"Creatinine","Aminoacids Related",0.071235,1.9798e-06,0.011668,-0.0031321,-0.0072468
"DG(14:0_18:1)","Diacylglycerols",0.071113,0.011267,-0.00066287,-0.0034027,0.0027001
"PC ae C40:3","Glycerophospholipids",0.071062,0.0090235,0.012447,-0.00084596,0.0070758
"PC ae C38:3","Glycerophospholipids",0.071055,-0.012416,0.012722,-0.020982,0.0074627
"PC aa C38:5","Glycerophospholipids",0.071039,0.017286,-0.0022757,0.021405,-0.012339
"PC aa C40:2","Glycerophospholipids",0.070842,-0.012863,-0.016215,0.016112,-0.019192
"PC aa C34:1","Glycerophospholipids",0.070826,-0.0072832,0.024156,-0.0015105,-0.014808
"PC aa C36:4","Glycerophospholipids",0.070778,-0.020733,-0.0052077,-0.0095255,-0.015956
"PC ae C30:1","Glycerophospholipids",0.070618,0.013412,-0.013637,-0.016248,0.012739
"PC ae C36:5","Glycerophospholipids",0.070482,0.0028423,0.018268,0.0026735,-0.015263
"PC ae C40:4","Glycerophospholipids",0.070466,0.0042218,0.0047598,-0.020227,0.029188
"C2","Acylcarnitines",0.070274,-0.010587,0.0046818,-0.029418,0.010059
"SM C24:0","Sphingolipids",0.070221,-0.0014335,-0.020778,0.019248,-0.025875
"PC ae C44:5","Glycerophospholipids",0.070171,-0.0083002,-0.020789,0.0046302,0.014618
"SM (OH) C16:1","Sphingolipids",0.070135,-0.012575,0.0018679,0.018566,-0.025653
"SM C24:1","Sphingolipids",0.069935,-0.0094623,0.011019,0.006616,-0.033629
"PC ae C38:2","Glycerophospholipids",0.069858,-0.0056587,0.024041,-0.014992,0.010952
"Phe","Aminoacids",0.069778,0.0058454,-0.001936,-0.00048708,-0.018741
"DG(16:0_18:2)","Diacylglycerols",0.069703,0.023,0.0047245,0.010437,-0.014123
"Xanthine","Nucleobases Related",0.069535,-0.011833,0.00081541,-0.014715,0.012358
"His","Aminoacids",0.069307,-0.006805,-0.026251,-0.0063413,0.013108
"PC ae C38:6","Glycerophospholipids",0.069258,0.019256,0.019318,0.020645,0.016746
"PC aa C36:1","Glycerophospholipids",0.069234,-0.019754,-0.028229,-0.015596,-0.0029129
"Gln","Aminoacids",0.069208,0.0055816,0.0069512,0.017428,0.0068193
"Ala","Aminoacids",0.069132,-0.0054879,-0.0010204,-0.0080234,0.0077059
"Leu","Aminoacids",0.069122,-0.010958,-0.0057136,-0.010621,-0.023851
"AconAcid","Carboxylic Acids",0.06901,0.010967,-0.015302,-0.028559,0.023103
"PC ae C36:1","Glycerophospholipids",0.069004,-0.0038846,0.037204,-0.003785,-0.0010911
"Ile","Aminoacids",0.068998,-0.014479,-0.0094122,-0.014624,-0.018727
"lysoPC a C17:0","Glycerophospholipids",0.068907,-0.0053408,-0.01678,-0.02196,0.021939
"PC aa C36:2","Glycerophospholipids",0.068847,-0.018804,-0.027673,-0.02482,0.0020641
"PC aa C30:2","Glycerophospholipids",0.068808,-0.014496,0.026363,-0.010323,-0.0080933
"PC aa C38:1","Glycerophospholipids",0.068797,-0.0011778,0.009512,0.026266,0.0086529
"PC ae C40:5","Glycerophospholipids",0.06877,0.022543,0.023348,0.021717,0.012605
"PC ae C38:4","Glycerophospholipids",0.068666,-0.0012909,0.035269,-0.0043627,0.014821
"PC aa C42:1","Glycerophospholipids",0.068637,0.014992,-0.012772,-0.004767,-0.028748
"Hex2Cer(d18:1/18:0)","Glycosylceramides",0.068578,0.0017192,-0.0064047,0.0033983,0.022534
"Lac","Carboxylic Acids",0.068241,0.013337,0.01815,0.00051888,0.0050895
"PC aa C28:1","Glycerophospholipids",0.068044,-0.011794,-0.021133,-0.039518,0.0037694
"PC ae C34:3","Glycerophospholipids",0.068012,0.0088803,0.033048,-0.010745,0.0061625
"PC ae C38:5","Glycerophospholipids",0.068001,0.016401,0.038651,0.020249,0.014333
"PC aa C36:0","Glycerophospholipids",0.067915,0.0071399,0.020288,0.027757,0.010571
"PC aa C36:3","Glycerophospholipids",0.067913,-0.008465,0.026355,-0.023567,0.010782
"SM (OH) C22:1","Sphingolipids",0.067906,-0.0018603,-0.0040906,0.011294,-0.0202
"Serotonin","Biogenic Amines",0.067891,0.021645,0.0050146,0.030403,0.0053296
"PC aa C40:3","Glycerophospholipids",0.067887,0.022617,-0.005886,-0.010124,-0.031333
"PC ae C32:1","Glycerophospholipids",0.067809,0.0094177,0.046033,0.012625,0.0024492
"PC aa C38:3","Glycerophospholipids",0.067793,-0.019664,-0.036733,-0.022241,0.0093725
"PC aa C42:5","Glycerophospholipids",0.067685,0.014187,-0.015458,-0.00039064,0.027625
"HexCer(d18:1/18:0)","Glycosylceramides",0.067647,0.0041585,-0.023885,0.0050308,-0.014175
"C0","Acylcarnitines",0.067628,0.0086987,0.037811,-0.0030277,0.018273
"PC aa C32:0","Glycerophospholipids",0.067568,0.0024776,0.024523,0.029346,-0.022671
"SM (OH) C14:1","Sphingolipids",0.067371,-0.02587,-0.00088195,0.028594,-0.020539
"PC ae C42:1","Glycerophospholipids",0.067319,0.0052344,-0.046182,-0.0023629,0.006431
"PC aa C32:3","Glycerophospholipids",0.067269,0.0059525,0.039302,0.029103,-0.021376
"Val","Aminoacids",0.067219,-0.0091324,0.0016627,-0.0053511,-0.025177
"PC aa C42:4","Glycerophospholipids",0.067105,0.020573,-0.0028915,0.03539,-0.010593
"Asn","Aminoacids",0.067058,0.0015466,0.0014543,0.018838,0.017231
"TG(20:0_32:4)","Triacylglycerols",0.066996,0.0083053,0.017006,-0.014913,0.015487
"SM C18:1","Sphingolipids",0.066943,-0.028434,0.0057625,-0.0047876,-0.023579
"PC aa C42:6","Glycerophospholipids",0.066897,0.014112,-0.022083,0.010305,0.01285
"PC aa C42:0","Glycerophospholipids",0.06683,-0.015358,-0.026537,-0.027944,-0.0077527
"PC ae C44:3","Glycerophospholipids",0.066693,0.0020646,-0.028962,0.02951,-0.01416
"PC aa C32:1","Glycerophospholipids",0.066552,0.0012769,0.050869,0.0039736,-0.010047
"C3","Acylcarnitines",0.066407,-0.017798,0.04367,0.010379,0.0023696
"SM (OH) C24:1","Sphingolipids",0.066322,-0.015891,0.0054012,0.023979,-0.027991
"PC ae C40:1","Glycerophospholipids",0.066315,0.01234,-0.016799,0.03131,0.011435
"PC ae C42:3","Glycerophospholipids",0.066312,-0.003651,-0.029004,0.019806,-0.0048967
"lysoPC a C16:0","Glycerophospholipids",0.06629,-0.016479,-0.044799,-0.021367,-0.0045377
"PC ae C34:1","Glycerophospholipids",0.066142,-0.0025724,0.051022,-0.0040413,0.0094148
"OH-GlutAcid","Carboxylic Acids",0.066049,0.029698,0.030911,0.016093,0.0041506
"alpha-AAA","Aminoacids Related",0.065929,0.016841,0.044837,-0.014204,-0.010983
"PC ae C30:2","Glycerophospholipids",0.065794,0.016278,0.018178,-0.029749,0.039017
"PC aa C38:4","Glycerophospholipids",0.065787,-0.013112,-0.047073,-0.018932,0.013133
"Cer(d18:1/18:0)","Ceramides",0.065742,0.0068466,-0.014435,0.003787,-0.00077027
"PC ae C36:4","Glycerophospholipids",0.065649,0.0013712,0.051958,0.0087198,0.0072399
"PC ae C34:0","Glycerophospholipids",0.065639,0.0099125,0.047066,0.01889,-0.019951
"PC aa C30:0","Glycerophospholipids",0.065621,0.0057639,0.0064475,0.039438,-0.031797
"PC aa C38:0","Glycerophospholipids",0.065578,0.014963,0.032701,0.038993,0.013094
"SM C16:1","Sphingolipids",0.065406,-0.028711,-0.016448,-0.0083605,-0.016135
"Cit","Aminoacids Related",0.06525,-0.0029995,0.028783,-0.028056,0.013847
"PC ae C38:1","Glycerophospholipids",0.065096,-0.0026762,0.044998,0.038027,-0.012496
"Anserine","Aminoacids Related",0.065018,0.0081225,0.021265,-0.013552,-0.022936
"PC ae C42:2","Glycerophospholipids",0.064831,0.02133,-0.049646,0.01331,-0.015097
"lysoPC a C28:0","Glycerophospholipids",0.06482,0.026342,-0.0094083,0.026384,0.0025427
"PC aa C32:2","Glycerophospholipids",0.064657,0.0087148,0.054777,-0.0013409,0.0018091
"Tyr","Aminoacids",0.064654,0.022757,-0.023668,0.022223,-0.02175
"PC aa C34:2","Glycerophospholipids",0.06452,-0.0061109,0.048535,-0.021968,0.0096699
"PC aa C42:2","Glycerophospholipids",0.064254,0.0018338,-0.0084998,0.0038161,-0.04857
"C4","Acylcarnitines",0.064151,0.021178,0.032839,-0.02475,0.006384
"PC ae C36:0","Glycerophospholipids",0.064013,0.023857,0.042322,0.029185,-0.016835
"Pro","Aminoacids",0.063907,0.0033632,-0.029535,-0.010795,0.021927
"PC ae C30:0","Glycerophospholipids",0.063636,0.022651,0.051638,0.021754,0.00030944
"PC ae C38:0","Glycerophospholipids",0.063333,0.014026,0.046184,0.041399,-0.0074089
"HexCer(d18:1/22:0)","Glycosylceramides",0.063308,0.012928,-0.028727,-0.0083712,-0.040213
"PC aa C38:6","Glycerophospholipids",0.063298,0.0092548,0.018317,0.046877,-0.0046931
"PC ae C44:4","Glycerophospholipids",0.063118,0.033799,-0.0031834,0.038509,-0.021488
"lysoPC a C24:0","Glycerophospholipids",0.062867,0.00015883,-0.035707,0.021823,-0.029269
"PC ae C42:5","Glycerophospholipids",0.062624,0.026177,-0.035753,0.027325,0.039631
"Glu","Aminoacids",0.062534,0.016382,0.046029,0.027892,0.020745
"C3-DC (C4-OH)","Acylcarnitines",0.062278,-0.0032093,-0.0074929,-0.039829,-0.038976
"HCys","Aminoacids Related",0.062206,-0.022981,0.03881,-0.015227,-0.0018264
"H1","Sugars",0.061911,0.00035429,0.038187,0.019977,0.028549
"Thr","Aminoacids",0.061527,-0.046205,-0.01116,0.00038031,-0.010385
"PC ae C40:6","Glycerophospholipids",0.061427,0.025104,0.03922,0.041387,0.017255
"PC ae C34:2","Glycerophospholipids",0.061227,0.005085,0.065434,-0.0041612,0.012798
"DHA","Fatty Acids",0.06108,0.013626,-0.019987,-0.03141,-0.039076
"C5-OH (C3-DC-M)","Acylcarnitines",0.061039,0.036729,0.025908,0.017118,0.0163
"DG(16:0_18:1)","Diacylglycerols",0.061011,0.032872,-0.021577,-0.00037953,0.0091705
"PC aa C34:3","Glycerophospholipids",0.060992,0.0079583,0.063458,-0.002589,0.006997
